	CID	CVCL_0110	CVCL_1045	CVCL_1798	CVCL_0126	CVCL_1048	CVCL_0079	CVCL_1050	CVCL_1051	CVCL_1053	CVCL_1054	CVCL_1052	CVCL_0131	CVCL_1058	CVCL_1059	CVCL_1060	CVCL_0134	CVCL_0132	CVCL_0023	CVCL_0080	CVCL_1067	CVCL_1805	CVCL_1806	CVCL_0028	CVCL_0152	CVCL_1074	CVCL_2862	CVCL_0153	CVCL_4613	CVCL_1084	BGC823_STOMACH	CVCL_1087	CVCL_1088	CVCL_0178	CVCL_0179	CVCL_1092	CVCL_0186	CVCL_1096	CVCL_1097	CVCL_1098	CVCL_0235	CVCL_1105	CVCL_1107	CVCL_1809	CVCL_1114	CVCL_0608	CVCL_0609	CVCL_0236	CVCL_1115	CVCL_0026	CVCL_1117	CVCL_2873	CVCL_1122	CVCL_1125	CVCL_1861	CVCL_2804	CVCL_1987	CVCL_0218	CVCL_1989	CVCL_1862	CVCL_1129	CVCL_1130	CVCL_1992	CVCL_1133	CVCL_1138	CVCL_1139	CVCL_2419	CVCL_2424	CVCL_1167	CVCL_1169	CVCL_1170	CVCL_1171	CVCL_1173	CVCL_1174	CVCL_1179	CVCL_6774	CVCL_0105	CVCL_1184	CVCL_2027	CVCL_1186	CVCL_2891	CVCL_1191	CVCL_0253	CVCL_0029	CVCL_1192	CVCL_1196	CVCL_2034	CVCL_3509	CVCL_1205	CVCL_2037	CVCL_1218	CVCL_2908	CVCL_2047	CVCL_1220	CVCL_0270	CVCL_1221	CVCL_1226	CVCL_1227	CVCL_1228	CVCL_1229	CVCL_1231	GLC82_LUNG	CVCL_1233	CVCL_1818	CVCL_1239	CVCL_2914	CVCL_1247	CVCL_1249	CVCL_1255	CVCL_2057	CVCL_1258	CVCL_1259	CVCL_1265	CVCL_1269	CVCL_2060	CVCL_2917	CVCL_1270	CVCL_2061	CVCL_2063	CVCL_0291	CVCL_0292	CVCL_1273	CVCL_2067	CVCL_2925	CVCL_0293	CVCL_0294	CVCL_2927	CVCL_2928	CVCL_2930	CVCL_2931	CVCL_2481	CVCL_0326	CVCL_0027	CVCL_8878	CVCL_1279	CVCL_1280	CVCL_1281	CVCL_2947	CVCL_2949	CVCL_3317	CVCL_0312	CVCL_3517	CVCL_0313	CVCL_0698	CVCL_0331	CVCL_0332	CVCL_0844	CVCL_0851	CVCL_0871	CVCL_0882	CVCL_0333	CVCL_0334	CVCL_0942	CVCL_0950	CVCL_0993	CVCL_1033	CVCL_1036	CVCL_1040	CVCL_1287	CVCL_0317	CVCL_1291	CVCL_1292	CVCL_0318	CVCL_0320	CVCL_1290	CVCL_0324	CVCL_2956	CVCL_1299	CVCL_1300	CVCL_0337	CVCL_1302	CVCL_2075	CVCL_2076	CVCL_1304	CVCL_2961	CVCL_0346	CVCL_1307	CVCL_6543	CVCL_1311	CVCL_1312	CVCL_0359	CVCL_2786	CVCL_2787	CVCL_0364	CVCL_2788	CVCL_2805	CVCL_4647	CVCL_4649	CVCL_4656	CVCL_3532	CVCL_2081	CVCL_0065	CVCL_1320	CVCL_8784	CVCL_1323	CVCL_1324	CVCL_1325	CVCL_1823	CVCL_0590	CVCL_2090	CVCL_2091	CVCL_3385	CVCL_3386	CVCL_2092	CVCL_0374	CVCL_2972	CVCL_1329	CVCL_2977	CVCL_2981	CVCL_2983	CVCL_2984	CVCL_2989	CVCL_1334	CVCL_2992	CVCL_2996	CVCL_0378	CVCL_2798	CVCL_1335	CVCL_2799	CVCL_1321	CVCL_3003	CVCL_3002	CVCL_3004	CVCL_3005	CVCL_1338	CVCL_1340	CVCL_0379	CVCL_1345	CVCL_3007	CVCL_1347	CVCL_1348	CVCL_1349	CVCL_1351	CVCL_1352	CVCL_1353	CVCL_1354	CVCL_1355	CVCL_1356	CVCL_8147	CVCL_1357	CVCL_1361	CVCL_5480	CVCL_1375	CVCL_0392	CVCL_0393	CVCL_2104	CVCL_1381	CVCL_0012	CVCL_1383	CVCL_1385	CVCL_1386	CVCL_3015	CVCL_2582	CVCL_0400	CVCL_1438	CVCL_0618	CVCL_1399	CVCL_3020	CVCL_0031	CVCL_0618	CVCL_1400	CVCL_0621	CVCL_0622	CVCL_0623	CVCL_0418	CVCL_0419	CVCL_1870	CVCL_0425	CVCL_1402	CVCL_1404	CVCL_0445	CVCL_1405	CVCL_1406	CVCL_2112	CVCL_0426	CVCL_1411	CVCL_0428	CVCL_1872	CVCL_1414	CVCL_0434	CVCL_2791	CVCL_1417	CVCL_2613	CVCL_2124	CVCL_1424	CVCL_1425	CVCL_2620	CVCL_1427	CVCL_1430	CVCL_1453	CVCL_1454	CVCL_1456	CVCL_1458	CVCL_0060	CVCL_A472	CVCL_1463	CVCL_1464	CVCL_1465	CVCL_1475	CVCL_1476	CVCL_1478	CVCL_1479	CVCL_1482	CVCL_1483	CVCL_1484	CVCL_1485	CVCL_1488	CVCL_1489	CVCL_1490	CVCL_1495	CVCL_1496	CVCL_1500	CVCL_1505	CVCL_1508	CVCL_1511	CVCL_1514	CVCL_1515	CVCL_1517	CVCL_1518	CVCL_1523	CVCL_1524	CVCL_1529	CVCL_1531	CVCL_1535	CVCL_1537	CVCL_1543	CVCL_1544	CVCL_1545	CVCL_1547	CVCL_1552	CVCL_1553	CVCL_1555	CVCL_1556	CVCL_6831	CVCL_1559	CVCL_1561	CVCL_0459	CVCL_1566	CVCL_1567	CVCL_1574	CVCL_1575	CVCL_1577	CVCL_1584	CVCL_1587	CVCL_1590	CVCL_1603	CVCL_3043	CVCL_0465	CVCL_1612	CVCL_3082	CVCL_1616	CVCL_1617	CVCL_1618	CVCL_1619	CVCL_1620	CVCL_8795	CVCL_3084	CVCL_2661	CVCL_0471	CVCL_1882	CVCL_1624	CVCL_1625	CVCL_3768	CVCL_1627	CVCL_1629	CVCL_3111	CVCL_3114	CVCL_3117	CVCL_1630	CVCL_1632	CVCL_2676	CVCL_1633	CVCL_1635	CVCL_1636	CVCL_1639	CVCL_1845	CVCL_1640	CVCL_0035	CVCL_3326	CVCL_4717	CVCL_6748	CVCL_4897	CVCL_3567	CVCL_0485	CVCL_1644	CVCL_3143	CVCL_0511	CVCL_1649	CVCL_1650	CVCL_3152	CVCL_4402	CVCL_1655	CVCL_3156	CVCL_0504	CVCL_0505	CVCL_1666	CVCL_1667	CVCL_1670	CVCL_0036	CVCL_1672	CVCL_0548	CVCL_1679	CVCL_3599	CVCL_1682	CVCL_1685	CVCL_1688	CVCL_1690	SF8657	CVCL_5167	CVCL_1693	CVCL_1694	CVCL_1695	CVCL_0041	CVCL_1697	CVCL_0033	CVCL_0626	CVCL_0627	CVCL_0525	CVCL_0628	CVCL_0629	CVCL_0599	CVCL_0069	CVCL_0039	CVCL_0600	CVCL_0527	CVCL_0630	CVCL_1699	CVCL_1700	CVCL_0528	CVCL_1701	CVCL_1702	CVCL_0531	CVCL_0532	CVCL_1707	CVCL_0076	CVCL_0090	CVCL_0099	CVCL_0250	CVCL_0077	CVCL_0366	CVCL_0454	CVCL_0497	CVCL_1709	CVCL_1710	CVCL_1656	CVCL_3881	CVCL_1889	CVCL_0539	CVCL_2206	CVCL_2207	CVCL_3172	CVCL_2209	CVCL_1714	CVCL_1715	CVCL_1716	CVCL_0543	CVCL_1717	CVCL_1720	CVCL_1723	CVCL_0545	CVCL_0546	CVCL_1724	CVCL_3603	CVCL_0547	CVCL_1728	CVCL_1731	CVCL_0554	CVCL_8067	CVCL_0553	CVCL_0555	CVCL_0556	CVCL_2213	CVCL_1738	CVCL_1761	CVCL_1763	CVCL_1759	CVCL_1764	CVCL_1755	CVCL_1767	CVCL_E063	CVCL_3611	CVCL_3612	CVCL_3613	CVCL_2218	CVCL_1776	CVCL_0633	CVCL_0042	CVCL_0022	CVCL_0007	CVCL_1779	CVCL_1780	CVCL_1781	CVCL_1783	CVCL_1787	CVCL_1790	CVCL_1791	CVCL_0040	CVCL_A341	CVCL_2765	CVCL_8787	CVCL_6805	CVCL_6809	CVCL_1796	CVCL_0588	CVCL_1661	Dataset
0	36314	5.6488	5.7297	5.9528	7.0226	5.5687	7.7957	4.0875	3.5178	5.3468	5.4703	6.9527	4.6157	4.3533	7.1679	5.6539	6.5225	6.0932	4.9753	7.0239	3.9915	6.7188	6.5985	5.5767	4.0922	6.6977	6.414	6.704	6.3787	5.1868	6.9967	7.1153	6.5657	4.959	3.3674	5.817	5.4667	3.4819	3.1892	2.9957	4.8113	4.9761	7.1184	5.5828	5.3918	4.1905	3.2082	6.5055	4.3906	3.4066	4.0347	3.4061	5.8572	5.9257	6.7624	5.9152	5.1776	7.0778	3.9828	7.3274	2.7143	4.5201	4.7665	5.4766	2.6619	5.2187	2.8757	3.7749	5.9369	5.3756	7.3422	5.6996	5.3135	5.5617	5.1909	5.4254	6.0946	6.3835	5.6514	5.2538	5.7392	2.0256	5.55	3.8972	3.8972	7.0443	4.0051	5.3368	6.5069	6.7817	4.7772	4.4367	4.3524	6.0134	6.559	5.9752	5.015	4.6277	4.0593	6.5265	5.6551	7.1474	5.0009	6.7581	5.2411	6.1217	5.8226	5.4493	2.7161	5.2761	6.8819	5.6339	2.4629	5.8944	5.8639	4.1463	5.4912	3.5376	4.5217	6.4469	3.1674	6.7594	6.3132	6.3134	4.9047	3.9821	5.4401	5.8464	3.8476	4.1261	5.1205	3.7909	4.8993	5.1752	6.2021	5.0317	4.4677	4.855	5.3291	6.5093	6.143	5.5399	4.9936	4.0841	4.8987	6.8292	5.9641	3.3945	5.2003	3.9177	5.1829	3.1435	4.3812	4.7678	2.9045	5.0763	3.864	6.4682	4.6615	6.7248	1.967	3.9561	4.6768	6.2246	6.6008	4.1198	4.4053	4.484	5.8226	6.5788	1.3967	6.1199	5.1485	3.7989	6.4774	7.4776	5.3262	7.0334	3.3207	6.3544	3.7283	3.9899	4.1514	4.7876	2.9703	6.0801	4.1841	5.2994	6.1947	6.1963	6.0871	7.2847	7.5086	5.2658	6.0363	5.9128	2.2649	6.8236	6.5453	4.3827	7.0551	4.0212	7.3811	4.7326	4.9233	6.2541	2.7287	5.1202	6.5537	4.304	3.9946	7.4167	7.086	7.1779	6.6117	5.2136	6.8034	4.9409	4.5833	6.1507	4.9263	5.3362	4.8529	4.864	6.5694	6.2491	7.1048	3.8522	6.895	3.5397	4.5075	6.5708	5.8173	3.8109	5.5189	6.5046	5.3639	5.5901	6.4953	6.817	4.3178	5.3331	5.5755	5.1481	5.688	6.1409	4.9676	3.0682	2.9985	5.834	4.8331	6.1904	5.9003	5.9103	3.8672	5.9969	6.476	6.4269	3.7399	3.8675	2.2575	2.8461	7.026	4.6231	5.5396	6.075	4.882	4.1212	4.24	5.6311	3.5542	3.8856	5.9629	6.2607	5.9739	7.2501	5.7431	7.1403	6.9625	5.8234	3.5975	3.6733	5.3376	4.819	6.7558	7.0911	6.6116	4.6902	5.3017	6.7078	1.7118	5.3744	4.6431	5.549	6.0005	6.0169	4.4405	3.5616	1.8457	5.6099	4.4458	5.8733	5.9981	4.3317	4.2575	4.4421	3.8862	4.6718	6.0885	5.8456	3.6008	2.2967	6.0863	4.4533	5.9467	4.9461	4.676	5.1832	4.3199	5.0352	5.5116	5.7354	6.6492	6.47	2.1174	5.1908	3.207	6.627	6.5769	4.1579	5.6526	3.249	4.7617	3.1413	5.6597	4.4553	4.9726	5.9668	5.4331	4.6377	4.2852	2.5108	1.9411	4.5944	4.6234	5.695	6.8572	5.2836	7.0402	6.0989	6.3589	6.6604	6.3818	6.3485	6.9156	5.5601	5.3406	6.2262	4.8996	6.6738		3.6015	3.4582	4.5514	6.193	2.7268	3.0491	2.0493	6.9777	5.4592	5.7467	4.0096	5.8073	3.9711	5.4204	3.2911	6.7585	4.2393	7.1858	5.4913	5.3968	4.3007	5.4653	5.357	5.7164	5.2985	6.0218	5.9449	6.7887	4.5754	6.7642	5.9558	5.3001	6.6097	6.095	6.9914	6.4498	6.9774	6.3166	3.8473	6.0694	6.4903	6.5622	6.8063	5.2099	4.6195	4.5241	3.3186	5.5243	3.8193	7.4525	5.5779	5.3401	5.3659	5.046	2.6585	6.7784	4.968	5.2374	4.591	3.0234	3.657	3.9556	4.1256	4.9196	4.9906	6.3364	5.2472	5.9311	5.864	3.4138	4.8643	5.0501	5.7321	7.5435	4.6237	4.8994	4.7368	6.988	4.9445	1.808	5	3.9497	5.3682	4.5905	4.1376	7.2354	6.9533	7.4814	6.7813	3.2842	7.6077	5.2309	4.9997	4.1891	5.3868	5.1654	3.8372	4.7138	5.8697	3.6134	6.6415	5.6305	6.0438	5.5322	4.5352	5.7734	4.1385	3.3375	4.1065	4.9955	6.8648	5.7387	7.3115	6.4203	4.1517	5.4258	6.7285	6.6468	4.0307	2.3948	6.2674	5.0367	6.6567	5.115	4.7636	5.1548	4.303	7.4369	3.6187	5.3255	4.0004	5.4626	6.523	1.0722	3.9578	3.5617	4.8909	4.0908	5.6275	5.0682	5.6824	5.5701	4.4743	2.1929	CCLE
1	60700	3.9955	3.8462	5.2619	3.4983	4.4574	5.3689	3.1708	3.3734	4.0707	3.8954	3.6427	2.649	2.586	3.1484	4.6056	4.6525	3.2038	1.8717	5.4861	3.7264	6.526	4.6146	1.4581	1.5994	3.8426	4.0091	3.6587	3.7961	3.1375	1.2733	4.1211	4.5194	2.1888	0.1767	4.1961	2.8842	1.3702	2.2885	2.6169	1.1215	1.9431	3.8619	3.1338	2.4477	1.9735	3.0826	3.0781	1.0891	1.2993	1.728	2.4283	2.8476	3.3596	4.9059	4.9621	3.1666	4.4189	2.5752	3.0919	1.8377	2.2206	2.4799	3.1862	1.1709	3.0968	2.0789	1.1671	3.9107	3.2015	5.916	1.4964	1.5358	3.1123	5.3652	3.1857	2.9817	3.3122	3.1845	3.6914	3.8903	1.6699	1.9984	2.5609	2.1093	5.2851	0.741	4.441	6.209	1.2153	3.2542	1.564	0.7803	2.9272	4.0509	4.218	1.2313	4.8979	1.9017	4.6049	2.6126	1.0642	1.297	5.0562	2.6745	3.1222	1.8545	2.5762	0.8191	2.5426	4.6446	1.2184	2.0685	1.7052	2.2173	1.5781	2.4964	4.1192	1.736	3.2013	2.7169	5.7676	3.7682	3.6883	2.287	2.025	2.833	2.7943	3.4251	3.0713	2.99	0.7921	2.7849	3.8241	2.186	3.7783	2.7067	3.7109	2.0497	3.8274	2.6696	2.9519	3.3008	1.1319	2.4773	1.2176	3.1158	2.2942	3.3782	2.2844	3.0074	0.9675	1.7592	1.4231	1.1193	1.5226	1.5029	3.7638	3.8791	3.3672	0.7309	0.1703	2.9211	2.4461	4.0798	2.3615	2.5865	1.9046	4.3506	4.0129	2.475	2.9305	2.5969	3.0213	2.9373	5.2822	2.6856	3.489	3.464	4.9511	3.0246	2.203	4.2614	4.1015	0.1861	3.2097	2.3488	2.2804	4.3234	3.6682	3.8976	5.3756	5.7118	2.5552	2.841	2.6928	4.1392	2.7252	4.5603	2.7719	4.5702	1.9144	5.4387	3.7898	2.984	4.8473	1.4401	2.1438	3.6748	2.4108	2.3736	2.9832	3.8314	4.5726	5.0621	2.0429	3.3792	2.5993	3.0377	5.1368	1.5307	1.8734	1.099	2.197	2.3036	4.8915	3.1619	3.0771	3.4304	2.3975	1.5052	3.9397	2.9748	0.9707	2.1403	4.2576	1.2417	3.081	3.5181	4.9954	3.0798	1.0455	2.2263	3.3191	1.7406	2.8967	4.1702	2.64	1.307	3.1476	4.0027	4.6107	3.9514	2.2186	1.5046	4.759	4.4146	2.5156	0.9251	3.6195	1.9513	1.0161	3.6949	2.5255	3.126	3.7305	4.2652	2.9957	2.6133	3.7506	0.4341	2.3197	4.5965	2.5258	3.5973	6.0318	3.8799	4.5568	3.4198	4.3579	2.3142	3.1009	0.8864	3.1229	5.7389	5.6936	2.2823	2.5565	3.1705	5.3324	2.8124	4.8723	4.1958	3.8423	3.7848	2.9384	0.9215	1.0589	0.08307	3.7898	1.2867	2.8858	1.9441	1.4616	2.3495	2.0451	3.0734	4.8522	3.4943	1.7974	1.5681	1.5602	3.279	1.7644	1.6636	2.1728	2.1324	4.0152	3.4086	1.0246	4.0293	3.8351	4.4313	4.5073	0.0547	2.8877	2.248	5.3799	3.0649	1.3742	3.3382	1.549	1.8001	1.6078	2.0796	2.5101	3.151	2.1326	1.9146	1.1787	1.8313	0.9602	0.2574	2.1884	1.8683	3.5494	4.8071	2.0783	4.3889	3.955	3.2347	3.3351	3.3175	4.8885	5.118	1.7151	3.6049	2.622	3.252	2.833	3.336	3.6358	2.9714	2.9929	4.034	2.4824	1.9364	3.5208	5.2524	3.9765	3.0622	2.4189	3.1664	1.7677	3.3451	2.263	3.389	1.5711	4.1862	2.5477	0.9304	2.2588	2.792	1.2708	2.709	1.2569	3.4747	2.7238	4.3275	3.4388	2.7835	1.2569	3.0453	3.5301	1.9966	3.4621	5.2886	4.3472	2.83	1.22	3.5564	3.162	2.157	3.3078	2.3581	4.3635	3.0484	0.7023	1.5113	0.7999	5.3778	4.5036	3.5555	3.5615	4.2169	2.2109	5.0616	1.9181	3.7843	3.1782	1.972	1.1798	1.2816	1.2612	2.5007	3.7728	2.4981	3.1954	4.1463	3.8043	1.3133	2.8988	2.0795	2.5829	3.5655	1.3273	3.6574	1.0026	3.618	0.8919	1.3044	2.5168	2.2119	3.1926	2.0749	3.0704	4.0743	5.315	4.0341	5.4439	3.5594	4.3541	4.3655	0.777	3.209	2.2859	3.6728	4.6127	4.2077	4.7006	2.9514	4.0017	3.4254	3.5414	1.975	1.0695	3.6724	0.8203	1.9885	1.1731	1.2564	3.7927	2.2101	4.7553	3.6344	2.8467	3.692	4.4021	4.0447	2.0667	4.0031	3.9431	2.732	3.3499	3.4346	2.8569	2.6347	1.6427	3.5634	2.1144	3.8193	1.3378	2.4369	2.2419	0.233	2.0667	0.8829	3.0344	3.3541	3.6274	2.8429	2.8592	1.3881	3.5125	0.02054	CCLE
2	60838		4.389		3.3621	4.5677	5.5188	1.8827	3.0887	2.8908	3.8186		2.5153	2.8739	3.5949		4.4446	3.9345	1.7063			5.8889	3.7332		2.2418		4.4041	3.9819			2.2857	4.7396	4.8923	2.4196		3.4086			2.0384		0.5537			2.9043	2.8611	1.8093			3.1566	1.5901	2.2248		2.9906		4.4997	4.3505			2.9318	3.0738	1.9174	2.1461	2.7471			2.9901	2.342		3.9651	3.4461	5.873		1.8847		5.5641	3.6086	3.5571				3.5052	2.2955	2.2524	1.9361	2.605	5.2348	0.9262			3.0544			1.2757	3.2033	4.6555			4.2248		4.69		2.2821	1.5352	5.1588					2.4213				1.7352	2.5662		1.8327	2.2185			3.3454	2.7435		3.8757	2.922		1.4273	1.7593	3.2408	3.771	3.6618		1.5377	3.224	3.4329	1.955		2.9701	3.7736	1.7798	3.5353	3.5016	2.3686			2.3295		2.8785	2.5234		2.0158		0.9451	2.2389	0.8084		1.5988		4.1102	3.5079		1.3475	1.5047	2.7864	3.1076		2.0752	2.3966	2.011			2.821	3.7394	2.7698	2.3182			3.1056		2.7861	4.5254		2.7736	3.466		0.5917						3.4227	5.0107	5.795	2.933	2.2827		3.6338	2.5262	4.7985		4.4124		5.0752		2.8217	4.2888	1.9354	2.1382	3.531	2.3962	1.6298	3.367		4.3181	4.8773	2.4491	2.9539		2.6355	4.3871	1.6959	2.1545	1.234	1.5558	3.2093	5.1446	2.7764	2.4941					2.8093	1.4083			1.2647		4.4701	4.9078	3.2757		2.0636	2.4904		3.9008		2.5387			2.7359	4.895			2.1141	3.8806		2.8648	1.7724				3.0189		3.9137	3.8767	4.3888	2.651	3.5391		0.9154	2.0817			2.8245	5.3433	3.4062	4.7234		4.1061	1.4986	3.4797		3.8717	5.5993	4.9124		2.5822		4.6028	3.195		4.533		3.5342	3.7968		1.6349								3.2599	3.1318	4.3177				1.8317	3.1297		1.7151	2.9776		2.5802				3.8559	3.6813	3.5838	0.9265	3.0723		4.9054		3.0533	3.7125		2.5264	2.9401		3.3047		3.2016	2.9178			2.6998	1.357		3.0313		4.4747	3.6816	4.6195			3.2714	3.2084	4.2545	4.6729		3.2961	2.8926	4.2414	2.6162	2.7183	4.3124	2.8504	1.8003	4.2914	2.3485	1.8955	2.6997	5.5533	3.9479		2.7868	3.4648	1.7691	3.5233			1.9126		3.4797	2.0877	2.1066	3.4861	2.4007							2.9952		3.0355	3.213	2.1034		5.2731	3.78	3.1885	1.1385	3.7048	3.3657	2.5283			3.7926	2.844	0.7244	1.4957	1.4702	5.4087	4.8066			4.3951		5.3432	1.9584		2.8009	2.8192	2.7765	1.6605	1.848	3.1361		1.9241		3.6462				2.4994	2.0173							1.6665						3.1957	4.9707	4.2453	5.546	3.4227	5.0054			3.0324	2.646				2.8655	2.3517	4.33	3.4352	3.6838	2.3722		4.5191	1.4788		2.2281	0.8403	3.5768	2.4115					4.4324	3.8206	2.7288		3.8142	2.6233	3.5752	3.7963	3.0109	2.6425	1.4987	3.6217			1.7327	2.6212		2.9569	1.3083		2.4335		4.4759	3.6776	2.4694	1.8817		1.6931	CCLE
3	176870	0.2496	0.245	0.8748	1.92	0.2919	1.6441	1.8863	0.08267	0.4567	0.07583	0.5181	0.08293	0.3697	0	0.8588	0.2241	0.2889	0.4884	0.1029	1.2474	1.0818	1.0362	0.3018	0.2484	0.491	1.1176	0.3177	0	0.04175	0.1886	0.01175	0.3595	1.3084	0.3156	0.2467	0.7307	1.128	0.286	0.4533	1.0932	1.7747	2.316	0.6947	2.0234	0.04256	1.1767	0.4963	0.003827	0.399	0.08698	1.8156	1.207	0.4165	0.4621	1.1118	0.1882	0.6326	0.6266	0.369	1.1618	0.4867	0.2241	0.9611	1.1257	0.03604	0.05132	0.258	0.2287	0.3955	0.473	0.8498	0.1756	0.4546	0.9251	0.04386	0.9805	1.4945	0.3605	0.2757	0.2728	0.5729	0.09867	0.463	0.8427	0.8905	0	0.09704	0.6877	0.6618	1.5452	0.3636	0.8677	0.996	0.3828	0	0.1358	0.4303	0.9732	0.6055	0.1787	0.6685	0.1201	0.3789	0.2662	0.8434	0.1981	0.5515	0.1893	0.3449	2.1	0.8402	2.6857	3.7373	0.1511	0.2732	0.3408	0.02019	4.4132	0.2184	0.4596	0.8709	1.6374	2.2608	0.1217	1.0704	0.7614	0	0.05487	0.7348	0.4473	0.4963	0.1433	0.2561	0.2264	0.4083	0.3112	0.5841	0.3479	1.0646	0.2068	0.7557	0.965	0.00911	0.6342	0.05836	0.07119	0.0222	0.1266	0.2265	0.3248	0.6797	0.3236	0.2035	0.4755	0	0.1288	0.3722	0.6125	0.02918	0.2642	1.4249	0.5338	0	0.6185	0.4576	0.4804	0.2869	1.4576	0.7256	0.3108	0.3618	0.4376	1.1493	2.1284	0	0.5104	1.7752	0.2581	0.3595	0.3626	0.4617	0.4773	1.4192	0.01655	0.6282	0.1802	0.9895	0.1292	0.7337	1.0426	1.1054	1.8084	0.03277	0.3822	0	0.01967	0.7388	1.0277	1.3204	0.6935	1.0481	0.8743	0.2575	0.9725	1.043	0.7291	0.1784	0.2421	0.8457	0.505	0.2748	1.0481	1.1015	0.2969	0.0282	0.161	0.1777	0.5309	0.6706	0.01012	0.02276	0.1607	0.2328	0.21	0.8298	0.5995	0.9836	0.2845	2.1105	0.7703	1.55	0.9731	0.4664	1.4667	0.3023	1.2624	1.3994	1.0717	1.0643	0.3904	0.7528	0.26	0.3233	0.4374	1.0477	0.09979	0	0.4793	0.3804	1.5967	0.8666	1.5519	0.0725	0.2374	1.4358	0.0005163	0.05463	0.3573	0.2684	1.1964	0.03477	0.2052	0.4275	0.1473	1.8648	1.239	0.3546	0.49	0	0.002914	0.9432	0.6176	1.5436	0.1603	1.1808	0.07553	1.1327	0.007088	0.18	0.3761	0.3438	0	0.3782	1.5452	2.0672	0.2041	0.2684	0.3184	0.662	0.06946	0.6025	0.67	0.7121	0.1102	1.1779	1.1241	0.2836	0.1776	1.6905	1.4163	0.04829	0.6008	1.3557	0.2825	2.2235	1.42	0.1312	0.5767	0.2512	0.4024	1.4395	0.4244	0.3705	0.4621	0.6598	0.1764	1.2982	0.9973	0.4553	0.4709	0.1121	0.8959	2.0307	0.198	0.8593	0	1.2231	0	0.4111	0.7658	1.7382	1.9746	4.0635	1.6179	0.3066	0.06994	0	0.4055	0.2912	0.04207	0.09786	0.3191	0.8585	0.1621	0.9619	1.5548	1.1932	1.82	2.6443	0.2903	0.3616	0.3731	0.02743	1.2901	0.05276	0.01577	2.3549	0.842	1.0886	0.06366	0.8885	0	0.3913	0.532	0.03859	0.1429	0.8693	0.7472	0.8033	0	1.0194	0.4879	0.494	0.5347	0.0789	3.7177	0.5852	1.171	0.5614	0.3102	0.2714	0.3004	0.3737	0.2199	0.7446	0.218	0.1262	0.1718	0.4351	0.2999	0	0.1202	0.06025	1.5385	0.172	0.6156	0.3784	1.6683	0.05907	0.2072	0.1555	2.0435		2.1038	0.07066	0.1438	0.1304	0.1529	0.2221	1.9143	0.1907	0.1233	0.4775	0.6481	0.7601	0.8541	0.3647	1.0627	0.5373	0.1272	0.09419	0	0.1344	0.4067	2.3791	1.4542	0.03266	0.2446	0.04943	0.4157	0.5904	0.6147	0.7714	0.4495	0.9051	0.3576	0.8118	0.01824	0	0.3379	0.6863	0.4618	0.3228	0.9531	0.1866	0.06596	1.0076	0.3886	0.689	0.9399	0	0.3717	0.1109	0.08464	0.1981	0.3159	0.3446	0.5871	1.0355	0.2869	2.558	0.3561	0	0.9057	0.1385	0.8934	0.3811	0.1791	1.0015	0.5313	0	0.06454	2.0088	1.677	0.8417	0.23	1.7201	0.9259	0.08303	0.01286	0.8777	0.8857	0.8222	0.2076	0.05681	0.4888	0.07387	0.5495	0	0.6873	0.4433	0	0.2547	0.194	0.9017	0.1035	0.6819	0.08816	0.07185	0.242	0.981	0.07841	1.1717	0.03998	CCLE
