lineage_name	cell_line_name	accession_id	synonym_names	CCLE_Name	gdsc_id	nci_taxonomy_id	doid	doid_heiarchy	Broad_ID	broad_id_alt	grouped_general_doid	group_general_lineage_name
17	adenosquamous pancreas carcinoma	KP-3	CVCL_3005	['KP3']	KP3_PANCREAS	1298219	C5721	DOID:5637	[u'DOID:5637', u'DOID:3498', u'DOID:4074', u'DOID:4905', u'DOID:1793', u'DOID:170', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000108		DOID:1793	pancreatic cancer
18	adenosquamous pancreas carcinoma	L3.3	CVCL_8147	['L33']	L33_PANCREAS	NA	C5721	DOID:5637	[u'DOID:5637', u'DOID:3498', u'DOID:4074', u'DOID:4905', u'DOID:1793', u'DOID:170', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000685		DOID:1793	pancreatic cancer
19	adrenal neuroblastoma	SiMa	CVCL_1695	['SIMA']	SIMA_AUTONOMIC_GANGLIA	753620	C4827	DOID:5718	[u'DOID:5718', u'DOID:3953', u'DOID:170', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000099		DOID:162	cancer
20	adrenal neuroblastoma	NH-6	CVCL_1606	['NH6']	NH6_AUTONOMIC_GANGLIA	NA	C4827	DOID:5718	[u'DOID:5718', u'DOID:3953', u'DOID:170', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000203		DOID:162	cancer
21	adrenal neuroblastoma	TGW	CVCL_1771	['TOG', 'TGW-nu', 'TGW-I-nu', 'TGW-nu-1']	TGW_AUTONOMIC_GANGLIA	910780	C4827	DOID:5718	[u'DOID:5718', u'DOID:3953', u'DOID:170', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-001674		DOID:162	cancer
22	adrenocortical carcinoma	SW13	CVCL_0542	['SW-13', 'SW13', 'ScottandWhiteNo.13']	SW13_ADRENAL_CORTEX	909744	C9325	DOID:3948	[u'DOID:3948', u'DOID:660', u'DOID:3953', u'DOID:170', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-001401		DOID:162	cancer
23	adult acute megakaryoblastic leukemia	UT-7	CVCL_2233	['UT7']	UT7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	C7965	DOID:8761	[DOID:8761, DOID:1240, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-001230		DOID:1240	leukemia
24	adult acute megakaryoblastic leukemia	SET-2	CVCL_2187	['Set-2', 'Set2', 'SET2']	SET2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1659820	C7965	DOID:8761	[DOID:8761, DOID:1240, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000195		DOID:1240	leukemia
25	adult acute monocytic leukemia	TUR	CVCL_1775	['TPA-U937-resistant']	TUR_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	909773	C8263	DOID:0080149	[u'DOID:0080149', u'DOID:8864', u'DOID:8527', u'DOID:8692', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002314		DOID:1240	leukemia
26	adult acute monocytic leukemia	Mono-Mac-1	CVCL_1425	['MONO-MAC-1', 'MonoMac1', 'Monomac-1', 'MonoMac1', 'MONOMAC1', 'MM1']	MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	C8263	DOID:0080149	[u'DOID:0080149', u'DOID:8864', u'DOID:8527', u'DOID:8692', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-001129		DOID:1240	leukemia
