"","DepMap_ID","Cell_line","CCLE_name","CCLE_histology","disease"
"1192","ACH-001366","NGP","NGP_AUTONOMIC_GANGLIA","autonomic_ganglia","peripheral_nervous_system"
"1193","ACH-001367","NMB","NMB_AUTONOMIC_GANGLIA","autonomic_ganglia","peripheral_nervous_system"
"1194","ACH-001368","OACM51","OACM51_OESOPHAGUS","oesophagus","esophagus"
"1195","ACH-001369","OCIC5X","OCIC5X_OVARY","ovary","ovarian"
"1196","ACH-001373","OV17R","OV17R_OVARY","ovary","ovarian"
"1197","ACH-001374","PA1","PA1_OVARY","ovary","ovarian"
"1198","ACH-001375","PACADD119","PACADD119_PANCREAS","pancreas","pancreas"
"1199","ACH-001376","PACADD135","PACADD135_PANCREAS","pancreas","pancreas"
"1200","ACH-001377","PACADD137","PACADD137_PANCREAS","pancreas","pancreas"
"1201","ACH-001378","PACADD159","PACADD159_PANCREAS","pancreas","pancreas"
"1202","ACH-001379","PACADD161","PACADD161_PANCREAS","pancreas","pancreas"
"1203","ACH-001380","PACADD165","PACADD165_PANCREAS","pancreas","pancreas"
"1204","ACH-001382","PACADD188","PACADD188_PANCREAS","pancreas","pancreas"
"1205","ACH-001383","PWR1E","PWR1E_PROSTATE","prostate","prostate"
"1206","ACH-001384","RO82W1","RO82W1_THYROID","thyroid","thyroid"
"1207","ACH-001385","RPMI2650","RPMI2650_UPPER_AERODIGESTIVE_TRACT","upper_aerodigestive_tract","upper_aerodigestive"
"1208","ACH-001386","SCLC22H","SCLC22H_LUNG","lung","lung"
"1209","ACH-001388","SUM102PT","SUM102PT_BREAST","breast","breast"
"1210","ACH-001389","SUM1315MO2","SUM1315MO2_BREAST","breast","breast"
"1211","ACH-001390","SUM149PT","SUM149PT_BREAST","breast","breast"
"1212","ACH-001391","SUM159PT","SUM159PT_BREAST","breast","breast"
"1213","ACH-001392","SUM185PE","SUM185PE_BREAST","breast","breast"
"1214","ACH-001393","SUM190PT","SUM190PT_BREAST","breast","breast"
"1215","ACH-001394","SUM229PE","SUM229PE_BREAST","breast","breast"
"1216","ACH-001395","SUM44PE","SUM44PE_BREAST","breast","breast"
"1217","ACH-001396","SUM52PE","SUM52PE_BREAST","breast","breast"
"1218","ACH-001397","SUM225CWN","SUM225CWN_BREAST","breast","breast"
"1219","ACH-001398","SW156","SW156_KIDNEY","kidney","kidney"
"1220","ACH-001399","SW626","SW626_LARGE_INTESTINE","large_intestine","colorectal"
"1221","ACH-001400","SW954","SW954_CERVIX","cervix","cervix"
"1222","ACH-001401","SW13","SW13_ADRENAL_CORTEX","adrenal_cortex","adrenal_cortex"
"1223","ACH-001402","SW756","SW756_CERVIX","cervix","cervix"
"1224","ACH-001403","TO14","TO14_OVARY","ovary","ovarian"
"1225","ACH-001407","UMUC13","UMUC13_URINARY_TRACT","urinary_tract","urinary_tract"
"1226","ACH-001408","UMUC14","UMUC14_URINARY_TRACT","urinary_tract","urinary_tract"
"1227","ACH-001409","UMUC16","UMUC16_URINARY_TRACT","urinary_tract","urinary_tract"
"1228","ACH-001410","UMUC4","UMUC4_URINARY_TRACT","urinary_tract","urinary_tract"
"1229","ACH-001411","UMUC5","UMUC5_URINARY_TRACT","urinary_tract","urinary_tract"
"1230","ACH-001412","UMUC10","UMUC10_URINARY_TRACT","urinary_tract","urinary_tract"
"1231","ACH-001413","UMUC11","UMUC11_URINARY_TRACT","urinary_tract","urinary_tract"
"1232","ACH-001414","UMUC6","UMUC6_URINARY_TRACT","urinary_tract","urinary_tract"
"1233","ACH-001415","UMUC7","UMUC7_URINARY_TRACT","urinary_tract","urinary_tract"
"1234","ACH-001416","UMUC9","UMUC9_URINARY_TRACT","urinary_tract","urinary_tract"
"1235","ACH-001417","UMC11","UMC11_LUNG","lung","lung"
"1236","ACH-001418","UWB1289","UWB1289_OVARY","ovary","ovarian"
"1237","ACH-001421","WERIRb1","WERIRB1_AUTONOMIC_GANGLIA","autonomic_ganglia","eye"
"1238","ACH-001425","CCLFPEDS0004T","CCLFPEDS0004T_SOFT_TISSUE","soft_tissue","soft_tissue"
"1239","ACH-001430","TC138","TC138_BONE","bone","bone"
"1240","ACH-001431","TC205","TC205_BONE","bone","bone"
"1241","ACH-001433","CCLFPEDS0008T","CCLFPEDS0008T_SOFT_TISSUE","soft_tissue","soft_tissue"
"1242","ACH-001441","921","921_UVEA","uvea","eye"
"1243","ACH-001442","A388","A388_SKIN","skin","cervix"
"1244","ACH-001443","ASH3","ASH3_THYROID","thyroid","thyroid"
"1245","ACH-001450","BLUE1","BLUE1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1246","ACH-001452","BONNA12","BONNA12_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1247","ACH-001453","BPH1","BPH1_PROSTATE","prostate","prostate"
"1248","ACH-001454","C10","C10_LARGE_INTESTINE","large_intestine","colorectal"
"1249","ACH-001456","C125PM","C125PM_LARGE_INTESTINE","large_intestine","colorectal"
"1250","ACH-001458","C75","C75_LARGE_INTESTINE","large_intestine","colorectal"
"1251","ACH-001459","C80","C80_LARGE_INTESTINE","large_intestine","colorectal"
"1252","ACH-001460","C84","C84_LARGE_INTESTINE","large_intestine","colorectal"
"1253","ACH-001461","C99","C99_LARGE_INTESTINE","large_intestine","colorectal"
"1254","ACH-001484","CI","CI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1255","ACH-001485","CII","CII_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1256","ACH-001489","CORL32","CORL32_LUNG","lung","lung"
"1257","ACH-001490","CORL321","CORL321_LUNG","lung","lung"
"1258","ACH-001494","EGI1","EGI1_BILIARY_TRACT","biliary_tract","bile_duct"
"1259","ACH-001496","ESO26","ESO26_OESOPHAGUS","oesophagus","esophagus"
"1260","ACH-001497","ESO51","ESO51_OESOPHAGUS","oesophagus","esophagus"
"1261","ACH-001498","FARAGE","FARAGE_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1262","ACH-001500","FLO1","FLO1_OESOPHAGUS","oesophagus","esophagus"
"1263","ACH-001509","H357","H357_UPPER_AERODIGESTIVE_TRACT","upper_aerodigestive_tract","upper_aerodigestive"
"1264","ACH-001514","HCC1008","HCC1008_BREAST","breast","breast"
"1265","ACH-001517","HEC1","HEC1_ENDOMETRIUM","endometrium","uterus"
"1266","ACH-001519","HEMCSS","HEMCSS_BONE","bone","bone"
"1267","ACH-001521","HKA1","HKA1_SKIN","skin","skin"
"1268","ACH-001522","HMY1","HMY1_SKIN","skin","skin"
"1269","ACH-001523","HSC1","HSC1_SKIN","skin","skin"
"1270","ACH-001524","HSC5","HSC5_SKIN","skin","skin"
"1271","ACH-001525","HT3","HT3_CERVIX","cervix","cervix"
"1272","ACH-001526","HUO9","HUO9_BONE","bone","bone"
"1273","ACH-001528","IHH4","IHH4_THYROID","thyroid","thyroid"
"1274","ACH-001529","JAR","JAR_PLACENTA","placenta","uterus"
"1275","ACH-001530","JEG3","JEG3_PLACENTA","placenta","uterus"
"1276","ACH-001532","JMURTK2","JMURTK2_SOFT_TISSUE","soft_tissue","rhabdoid"
"1277","ACH-001536","KKU100","KKU100_BILIARY_TRACT","biliary_tract","bile_duct"
"1278","ACH-001538","KKU213","KKU213_BILIARY_TRACT","biliary_tract","bile_duct"
"1279","ACH-001540","KMLS1","KMLS1_SOFT_TISSUE","soft_tissue","soft_tissue"
"1280","ACH-001541","KMS28PE","KMS28PE_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1281","ACH-001542","KON","KON_UPPER_AERODIGESTIVE_TRACT","upper_aerodigestive_tract","upper_aerodigestive"
"1282","ACH-001544","KYAE1","KYAE1_OESOPHAGUS","oesophagus","esophagus"
"1283","ACH-001546","LIM1215","LIM1215_LARGE_INTESTINE","large_intestine","colorectal"
"1284","ACH-001548","LS","LS_AUTONOMIC_GANGLIA","autonomic_ganglia","peripheral_nervous_system"
"1285","ACH-001549","LU135","LU135_LUNG","lung","lung"
"1286","ACH-001550","MCC13","MCC13_SKIN","skin","skin"
"1287","ACH-001551","MCC142","MCC142_SKIN","skin","skin"
"1288","ACH-001552","MCC26","MCC26_SKIN","skin","skin"
"1289","ACH-001554","MEL202","MEL202_UVEA","uvea","eye"
"1290","ACH-001555","MERO14","MERO14_PLEURA","pleura","mesothelioma"
"1291","ACH-001556","MERO25","MERO25_PLEURA","pleura","mesothelioma"
"1292","ACH-001557","MERO41","MERO41_PLEURA","pleura","mesothelioma"
"1293","ACH-001558","MERO48A","MERO48A_PLEURA","pleura","mesothelioma"
"1294","ACH-001559","MERO82","MERO82_PLEURA","pleura","mesothelioma"
"1295","ACH-001560","MERO83","MERO83_PLEURA","pleura","mesothelioma"
"1296","ACH-001561","MERO84","MERO84_PLEURA","pleura","mesothelioma"
"1297","ACH-001562","MERO95","MERO95_PLEURA","pleura","mesothelioma"
"1298","ACH-001563","MM127","MM127_SKIN","skin","skin"
"1299","ACH-001566","MM370","MM370_SKIN","skin","skin"
"1300","ACH-001567","MM383","MM383_SKIN","skin","skin"
"1301","ACH-001568","MM386","MM386_SKIN","skin","skin"
"1302","ACH-001569","MM415","MM415_SKIN","skin","skin"
"1303","ACH-001570","MM426","MM426_SKIN","skin","skin"
"1304","ACH-001573","MOLM1","MOLM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1305","ACH-001578","NCCIT","NCCIT_TESTIS","testis","embryo"
"1306","ACH-001591","NCIH1417","NCIH1417_LUNG","lung","lung"
"1307","ACH-001599","NCIH64","NCIH64_LUNG","lung","lung"
"1308","ACH-001603","NH12","NH12_AUTONOMIC_GANGLIA","autonomic_ganglia","peripheral_nervous_system"
"1309","ACH-001605","NO10","NO10_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","central_nervous_system"
"1310","ACH-001606","NO11","NO11_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","central_nervous_system"
"1311","ACH-001607","NOZ","NOZ_LIVER","liver","bile_duct"
"1312","ACH-001610","NP5","NP5_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","central_nervous_system"
"1313","ACH-001611","NP8","NP8_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","central_nervous_system"
"1314","ACH-001617","OCILY7","OCILY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1315","ACH-001618","OCIM2","OCIM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1316","ACH-001624","ONDA9","ONDA9_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","central_nervous_system"
"1317","ACH-001625","OSC19","OSC19_UPPER_AERODIGESTIVE_TRACT","upper_aerodigestive_tract","upper_aerodigestive"
"1318","ACH-001626","OSC20","OSC20_UPPER_AERODIGESTIVE_TRACT","upper_aerodigestive_tract","upper_aerodigestive"
"1319","ACH-001628","PEA1","PEA1_OVARY","ovary","ovarian"
"1320","ACH-001630","PEO1","PEO1_OVARY","ovary","ovarian"
"1321","ACH-001632","PEO4","PEO4_OVARY","ovary","ovarian"
"1322","ACH-001634","PGA1","PGA1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1323","ACH-001638","RCK8","RCK8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1324","ACH-001639","ROS50","ROS50_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1325","ACH-001641","SAT","SAT_UPPER_AERODIGESTIVE_TRACT","upper_aerodigestive_tract","upper_aerodigestive"
"1326","ACH-001642","SCC3","SCC3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1327","ACH-001645","SEKI","SEKI_SKIN","skin","skin"
"1328","ACH-001647","SHI1","SHI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1329","ACH-001650","SISO","SISO_CERVIX","cervix","cervix"
"1330","ACH-001651","SKGI","SKGI_ENDOMETRIUM","endometrium","uterus"
"1331","ACH-001653","SKGT2","SKGT2_STOMACH","stomach","gastric"
"1332","ACH-001654","SKGT4","SKGT4_OESOPHAGUS","oesophagus","esophagus"
"1333","ACH-001655","SKN","SKN_ENDOMETRIUM","endometrium","uterus"
"1334","ACH-001656","SKNO1","SKNO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1335","ACH-001664","SNU638","SNU638_STOMACH","stomach","gastric"
"1336","ACH-001665","SR","SR_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1337","ACH-001668","SUSA","SUSA_TESTIS","testis","embryo"
"1338","ACH-001670","TASK1","TASK1_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","peripheral_nervous_system"
"1339","ACH-001673","TFK1","TFK1_BILIARY_TRACT","biliary_tract","bile_duct"
"1340","ACH-001674","TGW","TGW_AUTONOMIC_GANGLIA","autonomic_ganglia","peripheral_nervous_system"
"1341","ACH-001677","U2904","U2904_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1342","ACH-001680","U698M","U698M_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1343","ACH-001702","VAESBJ","VAESBJ_SOFT_TISSUE","soft_tissue","soft_tissue"
"1344","ACH-001703","VAL","VAL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1345","ACH-001704","VMRCMELG","VMRCMELG_SKIN","skin","skin"
"1346","ACH-001709","WSUNHL","WSUNHL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1347","ACH-001711","PFSK1","PFSK1_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","central_nervous_system"
"1348","ACH-001715","CAL72","CAL72_BONE","bone","bone"
"1349","ACH-001716","GOTO","GOTO_AUTONOMIC_GANGLIA","autonomic_ganglia","peripheral_nervous_system"
"1350","ACH-001735","SEMK2","SEMK2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1351","ACH-001736","HB1119","HB1119_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1352","ACH-001737","HSB2","HSB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1353","ACH-001738","CCRFCEM","CCRFCEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1354","ACH-001740","RH28","RH28_SOFT_TISSUE","soft_tissue","rhabdomyosarcoma"
"1355","ACH-001741","RMS13","RMS13_SOFT_TISSUE","soft_tissue","rhabdomyosarcoma"
"1356","ACH-001743","RC2","RC2_SOFT_TISSUE","soft_tissue","rhabdomyosarcoma"
"1357","ACH-001745","RHJT","RHJT_SOFT_TISSUE","soft_tissue","rhabdomyosarcoma"
"1358","ACH-001750","TTC442","TTC442_SOFT_TISSUE","soft_tissue","rhabdomyosarcoma"
"1359","ACH-001751","RH36","RH36_SOFT_TISSUE","soft_tissue","rhabdomyosarcoma"
"1360","ACH-001765","RH4","RH4_SOFT_TISSUE","soft_tissue","rhabdomyosarcoma"
"1361","ACH-001767","CCLFPEDS0018T","CCLFPEDS0018T_SOFT_TISSUE","soft_tissue","fibroblast"
"1362","ACH-001790","RH18DM","RH18DM_SOFT_TISSUE","soft_tissue","rhabdomyosarcoma"
"1363","ACH-001791","LPS6","LPS6_SOFT_TISSUE","soft_tissue","soft_tissue"
"1364","ACH-001793","LPS27","LPS27_SOFT_TISSUE","soft_tissue","soft_tissue"
"1365","ACH-001794","93T449","93T449_SOFT_TISSUE","soft_tissue","soft_tissue"
"1366","ACH-001796","95T1000","95T1000_SOFT_TISSUE","soft_tissue","soft_tissue"
"1367","ACH-001814","OS252","OS252_BONE","bone","bone"
"1368","ACH-001818","C396","C396_BONE","bone","bone"
"1369","ACH-001819","MFM223","MFM223_BREAST","breast","breast"
"1370","ACH-001820","COLO824","COLO824_BREAST","breast","breast"
"1371","ACH-001827","184B5","184B5_BREAST","breast","breast"
"1372","ACH-001836","ICC108","ICC108_BILIARY_TRACT","biliary_tract","bile_duct"
"1373","ACH-001838","ICC12","ICC12_BILIARY_TRACT","biliary_tract","bile_duct"
"1374","ACH-001842","ICC2","ICC2_BILIARY_TRACT","biliary_tract","bile_duct"
"1375","ACH-001843","ICC3","ICC3_BILIARY_TRACT","biliary_tract","bile_duct"
"1376","ACH-001848","ICC8","ICC8_BILIARY_TRACT","biliary_tract","bile_duct"
"1377","ACH-001849","ICC9","ICC9_BILIARY_TRACT","biliary_tract","bile_duct"
"1378","ACH-001853","KMCH1","KMCH1_BILIARY_TRACT","biliary_tract","bile_duct"
"1379","ACH-001856","RBE","RBE_BILIARY_TRACT","biliary_tract","bile_duct"
"1380","ACH-001857","SG231","SG231_BILIARY_TRACT","biliary_tract","bile_duct"
"1381","ACH-001861","TGBC1TKB","TGBC1TKB_BILIARY_TRACT","biliary_tract","bile_duct"
"1382","ACH-001955","JHC7","JHC7_BONE","bone","bone"
"1383","ACH-001956","MUGCHOR1","MUGCHOR1_BONE","bone","bone"
"1384","ACH-001957","UMCHOR1","UMCHOR1_BONE","bone","bone"
"1385","ACH-001958","MS1","MS1_LUNG","lung","lung"
"1386","ACH-001959","CCLP1","CCLP1_BILIARY_TRACT","biliary_tract","bile_duct"
"1387","ACH-001960","CCSW1","CCSW1_BILIARY_TRACT","biliary_tract","bile_duct"
"1388","ACH-002001","A375SKINCJ1","A375_SKIN_CJ1_RESISTANT","skin_cj1_resistant","skin"
"1389","ACH-002002","A375SKINCJ2","A375_SKIN_CJ2_RESISTANT","skin_cj2_resistant","skin"
"1390","ACH-002003","A375SKINCJ3","A375_SKIN_CJ3_RESISTANT","skin_cj3_resistant","skin"
"1391","ACH-002004","UACC62SKINCJ1","UACC62_SKIN_CJ1_RESISTANT","skin_cj1_resistant","skin"
"1392","ACH-002005","SKMEL19","SKMEL19_SKIN","skin","skin"
"1393","ACH-002015","MEL285","MEL285_UVEA","uvea","eye"
"1394","ACH-002017","OMM1","OMM1_UVEA","uvea","eye"
"1395","ACH-002020","SKGIIIA","SKGIIIA_CERVIX","cervix","cervix"
"1396","ACH-002029","SAS","SAS_UPPER_AERODIGESTIVE_TRACT","upper_aerodigestive_tract","upper_aerodigestive"
"1397","ACH-002040","HMVII","HMVII_SKIN","skin","skin"
"1398","ACH-002043","CA922","CA922_UPPER_AERODIGESTIVE_TRACT","upper_aerodigestive_tract","upper_aerodigestive"
"1399","ACH-002045","HO1U1","HO1U1_UPPER_AERODIGESTIVE_TRACT","upper_aerodigestive_tract","upper_aerodigestive"
"1400","ACH-002051","LU134A","LU134A_LUNG","lung","lung"
"1401","ACH-002052","LU139","LU139_LUNG","lung","lung"
"1402","ACH-002058","ATN1","ATN1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1403","ACH-002059","P30OHK","P30OHK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1404","ACH-002062","SLVL","SLVL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1405","ACH-002067","NOS1","NOS1_BONE","bone","bone"
"1406","ACH-002077","LU165","LU165_LUNG","lung","lung"
"1407","ACH-002083","NB69","NB69_AUTONOMIC_GANGLIA","autonomic_ganglia","peripheral_nervous_system"
"1408","ACH-002085","HSSYII","HSSYII_LUNG","lung","soft_tissue"
"1409","ACH-002089","201T","201T_LUNG","lung","lung"
"1410","ACH-002090","BB65RCC","BB65RCC_KIDNEY","kidney","kidney"
"1411","ACH-002091","CAL39","CAL39_VULVA","vulva","vulva"
"1412","ACH-002092","CHSA0011","CHSA0011_BONE","bone","bone"
"1413","ACH-002093","CHSA0108","CHSA0108_BONE","bone","bone"
"1414","ACH-002094","CHSA8926","CHSA8926_BONE","bone","bone"
"1415","ACH-002095","CORL303","CORL303_LUNG","lung","lung"
"1416","ACH-002096","CP50MELB","CP50MELB_SKIN","skin","skin"
"1417","ACH-002097","CP66MEL","CP66MEL_SKIN","skin","skin"
"1418","ACH-002098","CP67MEL","CP67MEL_SKIN","skin","skin"
"1419","ACH-002099","CS1","CS1_BONE","bone","bone"
"1420","ACH-002100","DJM1","DJM1_SKIN","skin","skin"
"1421","ACH-002101","EMCBAC1","EMCBAC1_LUNG","lung","lung"
"1422","ACH-002102","EMCBAC2","EMCBAC2_LUNG","lung","lung"
"1423","ACH-002103","ES1","ES1_BONE","bone","bone"
"1424","ACH-002104","ES3","ES3_BONE","bone","bone"
"1425","ACH-002105","ES4","ES4_BONE","bone","bone"
"1426","ACH-002106","ES5","ES5_BONE","bone","bone"
"1427","ACH-002107","ES6","ES6_BONE","bone","bone"
"1428","ACH-002108","ES7","ES7_BONE","bone","bone"
"1429","ACH-002109","ES8","ES8_BONE","bone","bone"
"1430","ACH-002110","EW1","EW1_BONE","bone","bone"
"1431","ACH-002111","EW11","EW11_BONE","bone","bone"
"1432","ACH-002112","EW12","EW12_BONE","bone","bone"
"1433","ACH-002113","EW13","EW13_BONE","bone","bone"
"1434","ACH-002114","EW16","EW16_BONE","bone","bone"
"1435","ACH-002115","EW18","EW18_BONE","bone","bone"
"1436","ACH-002116","EW22","EW22_BONE","bone","bone"
"1437","ACH-002117","EW24","EW24_BONE","bone","bone"
"1438","ACH-002118","EW3","EW3_BONE","bone","bone"
"1439","ACH-002119","EW7","EW7_BONE","bone","bone"
"1440","ACH-002120","GAK","GAK_SKIN","skin","skin"
"1441","ACH-002121","GMEL","GMEL_SKIN","skin","skin"
"1442","ACH-002122","GT3TKB","GT3TKB_STOMACH","stomach","stomach"
"1443","ACH-002123","H2369","H2369_PLEURA","pleura","pleura"
"1444","ACH-002124","H2373","NCIH2373_PLEURA","pleura","pleura"
"1445","ACH-002125","H2461","NCIH2461_PLEURA","pleura","pleura"
"1446","ACH-002126","H2591","NCIH2591_PLEURA","pleura","pleura"
"1447","ACH-002127","H2595","NCIH2595_PLEURA","pleura","pleura"
"1448","ACH-002128","H2722","NCIH2722_PLEURA","pleura","pleura"
"1449","ACH-002129","H2731","NCIH2731_PLEURA","pleura","pleura"
"1450","ACH-002130","H2795","NCIH2795_PLEURA","pleura","pleura"
"1451","ACH-002131","H2803","NCIH2803_PLEURA","pleura","pleura"
"1452","ACH-002132","H2804","NCIH2804_PLEURA","pleura","pleura"
"1453","ACH-002133","H2810","NCIH2810_PLEURA","pleura","pleura"
"1454","ACH-002134","H2818","NCIH2818_PLEURA","pleura","pleura"
"1455","ACH-002135","H2869","NCIH2869_PLEURA","pleura","pleura"
"1456","ACH-002136","H290","H290_PLEURA","pleura","pleura"
"1458","ACH-002138","H513","H513_LUNG","lung","lung"
"1459","ACH-002139","HA7RCC","HA7RCC_KIDNEY","kidney","kidney"
"1460","ACH-002140","HEY","HEY_OVARY","ovary","ovarian"
"1461","ACH-002141","HSC39","HSC39_STOMACH","stomach","stomach"
"1462","ACH-002142","HUO3N1","HUO3N1_BONE","bone","bone"
"1463","ACH-002143","ISTMEL1","ISTMEL1_SKIN","skin","skin"
"1464","ACH-002144","ISTSL1","ISTSL1_LUNG","lung","lung"
"1465","ACH-002145","ISTSL2","ISTSL2_LUNG","lung","lung"
"1466","ACH-002146","JHOS3","JHOS3_OVARY","ovary","ovarian"
"1467","ACH-002147","K2","K2_SKIN","skin","skin"
"1468","ACH-002148","K5","K5_THYROID","thyroid","thyroid"
"1469","ACH-002149","KGN","KGN_OVARY","ovary","ovarian"
"1470","ACH-002150","LB1047RCC","LB1047RCC_KIDNEY","kidney","kidney"
"1471","ACH-002151","LB2241RCC","LB2241RCC_KIDNEY","kidney","kidney"
"1472","ACH-002152","LB2518MEL","LB2518MEL_SKIN","skin","skin"
"1473","ACH-002153","LB373MELD","LB373MELD_SKIN","skin","skin"
"1474","ACH-002154","LB647SCLC","LB647SCLC_LUNG","lung","lung"
"1475","ACH-002155","LB996RCC","LB996RCC_KIDNEY","kidney","kidney"
"1476","ACH-002156","LC1SQ","LC1SQ_LUNG","lung","lung"
"1477","ACH-002157","LC2AD","LC2AD_LUNG","lung","lung"
"1478","ACH-002158","LU99A","LU99A_LUNG","lung","lung"
"1479","ACH-002159","M14","M14_SKIN","skin","skin"
"1480","ACH-002160","MCIXC","MCIXC_BONE","bone","bone"
"1481","ACH-002161","MKN28","MKN28_STOMACH","stomach","stomach"
"1482","ACH-002162","MMACSF","MMACSF_SKIN","skin","skin"
"1483","ACH-002163","MRKNU1","MRKNU1_BREAST","breast","breast"
"1484","ACH-002164","MZ1PC","MZ1PC_PANCREAS","pancreas","pancreas"
"1485","ACH-002165","MZ2MEL","MZ2MEL_SKIN","skin","skin"
"1486","ACH-002166","MZ7MEL","MZ7MEL_SKIN","skin","skin"
"1487","ACH-002167","NCC010","NCC010_KIDNEY","kidney","kidney"
"1488","ACH-002168","NCC021","NCC021_KIDNEY","kidney","kidney"
"1489","ACH-002169","NCIH1304","NCIH1304_LUNG","lung","lung"
"1490","ACH-002170","NCIH1688","NCIH1688_LUNG","lung","lung"
"1491","ACH-002171","NCIH250","NCIH250_LUNG","lung","lung"
"1492","ACH-002172","NCIH322M","NCIH322M_LUNG","lung","lung"
"1493","ACH-002173","NCIH378","NCIH378_LUNG","lung","lung"
"1494","ACH-002174","NCIH720","NCIH720_LUNG","lung","lung"
"1495","ACH-002175","NCIH740","NCIH740_LUNG","lung","lung"
"1496","ACH-002176","NCIH748","NCIH748_LUNG","lung","lung"
"1497","ACH-002177","NCIH835","NCIH835_LUNG","lung","lung"
"1498","ACH-002178","NY","NY_BONE","bone","bone"
"1499","ACH-002179","OCUBM","OCUBM_BREAST","breast","breast"
"1500","ACH-002180","OMC1","OMC1_CERVIX","cervix","cervix"
"1501","ACH-002181","OVCA420","OVCA420_OVARY","ovary","ovarian"
"1502","ACH-002182","OVCA433","OVCA433_OVARY","ovary","ovarian"
"1503","ACH-002183","OVMIU","OVMIU_OVARY","ovary","ovarian"
"1504","ACH-002184","PC3JPC3","PC3JPC3_LUNG","lung","lung"
"1505","ACH-002185","PL18","PL18_PANCREAS","pancreas","pancreas"
"1506","ACH-002186","PL4","PL4_PANCREAS","pancreas","pancreas"
"1507","ACH-002187","RCCAB","RCCAB_KIDNEY","kidney","kidney"
