"","DepMap_ID","Cell_line","CCLE_name","CCLE_histology","disease"
"982","ACH-000983","KCL22","KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"983","ACH-000984","HEC6","HEC6_ENDOMETRIUM","endometrium","uterus"
"984","ACH-000985","LS411N","LS411N_LARGE_INTESTINE","large_intestine","colorectal"
"985","ACH-000986","HT115","HT115_LARGE_INTESTINE","large_intestine","colorectal"
"986","ACH-000987","MEWO","MEWO_SKIN","skin","skin"
"987","ACH-000988","MFE319","MFE319_ENDOMETRIUM","endometrium","uterus"
"988","ACH-000989","SNU175","SNU175_LARGE_INTESTINE","large_intestine","colorectal"
"989","ACH-000990","HEC108","HEC108_ENDOMETRIUM","endometrium","uterus"
"990","ACH-000991","SNU81","SNU81_LARGE_INTESTINE","large_intestine","colorectal"
"991","ACH-000992","BICR18","BICR18_UPPER_AERODIGESTIVE_TRACT","upper_aerodigestive_tract","upper_aerodigestive"
"992","ACH-000993","JHUEM7","JHUEM7_ENDOMETRIUM","endometrium","uterus"
"993","ACH-000994","HEC59","HEC59_ENDOMETRIUM","endometrium","uterus"
"994","ACH-000995","JURKAT","JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"995","ACH-000996","HEC251","HEC251_ENDOMETRIUM","endometrium","uterus"
"996","ACH-000997","HCT15","HCT15_LARGE_INTESTINE","large_intestine","colorectal"
"997","ACH-000998","CW2","CW2_LARGE_INTESTINE","large_intestine","colorectal"
"998","ACH-000999","SNU1040","SNU1040_LARGE_INTESTINE","large_intestine","colorectal"
"999","ACH-001000","1321N1","1321N1_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","central_nervous_system"
"1000","ACH-001001","143B","143B_BONE","bone","bone"
"1001","ACH-001002","451LU","451LU_SKIN","skin","skin"
"1002","ACH-001011","ACCS","ACCS_URINARY_TRACT","urinary_tract","urinary_tract"
"1003","ACH-001015","AZ521","AZ521_SMALL_INTESTINE","small_intestine","small_intestine"
"1004","ACH-001016","BECKER","BECKER_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","central_nervous_system"
"1005","ACH-001017","BGC823","BGC823_STOMACH","stomach","gastric"
"1006","ACH-001018","BJHTERT","BJHTERT_FIBROBLAST","fibroblast","fibroblast"
"1007","ACH-001020","BT16","BT16_SOFT_TISSUE","soft_tissue","rhabdoid"
"1008","ACH-001021","C3A","C3A_LIVER","liver","liver"
"1009","ACH-001022","CBAGPN","CBAGPN_BONE","bone","bone"
"1010","ACH-001023","CGTHW1","CGTHW1_THYROID","thyroid","thyroid"
"1011","ACH-001024","CHL1","CHL1_SKIN","skin","skin"
