"","DepMap_ID","Cell_line","CCLE_histology","CCLE_name","disease","TCGA_classification","grouped_general_doid"
"238","ACH-000237","JHOM1","ovary","JHOM1_OVARY","ovary","OV","DOID:2394"
"239","ACH-000238","SCC4","upper_aerodigestive_tract","SCC4_UPPER_AERODIGESTIVE_TRACT","upper_aerodigestive","HNSC","DOID:11934"
"240","ACH-000239","HUG1N","stomach","HUG1N_STOMACH","gastric","STAD","DOID:10534"
"241","ACH-000240","HS600T","fibroblast","HS600T_FIBROBLAST","fibroblast","SKCM","DOID:4159"
"242","ACH-000241","JK1","haematopoietic_and_lymphoid_tissue","JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","LCML","DOID:1240"
"243","ACH-000242","RT4","urinary_tract","RT4_URINARY_TRACT","urinary_tract","BLCA","DOID:11054"
"244","ACH-000243","DANG","pancreas","DANG_PANCREAS","pancreas","PAAD","DOID:1793"
"245","ACH-000244","DKMG","central_nervous_system","DKMG_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","GBMLGG","DOID:3620"
"246","ACH-000245","BL41","haematopoietic_and_lymphoid_tissue","BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","DLBC","DOID:0060058"
"247","ACH-000246","SLR23","kidney","SLR23_KIDNEY","kidney","KIRC","DOID:263"
"248","ACH-000247","OCUM1","stomach","OCUM1_STOMACH","gastric","STAD","DOID:10534"
"249","ACH-000248","AU565","breast","AU565_BREAST","breast","BRCA","DOID:1612"
"250","ACH-000249","CL11","large_intestine","CL11_LARGE_INTESTINE","colorectal","COADREAD","DOID:9256"
"251","ACH-000250","KMRC20","kidney","KMRC20_KIDNEY","kidney","KIRC","DOID:263"
"252","ACH-000251","NCIH2887","lung","NCIH2887_LUNG","lung",NA,"DOID:1324"
"253","ACH-000252","LS1034","large_intestine","LS1034_LARGE_INTESTINE","colorectal","COADREAD","DOID:9256"
"254","ACH-000253","COLO201","large_intestine","COLO201_LARGE_INTESTINE","colorectal","COADREAD","DOID:9256"
"255","ACH-000254","SCC15","upper_aerodigestive_tract","SCC15_UPPER_AERODIGESTIVE_TRACT","upper_aerodigestive","HNSC","DOID:11934"
"256","ACH-000255","LMSU","stomach","LMSU_STOMACH","gastric","STAD","DOID:10534"
"257","ACH-000256","COV318","ovary","COV318_OVARY","ovary","OV","DOID:2394"
"258","ACH-000257","CORL279","lung","CORL279_LUNG","lung","SCLC","DOID:1324"
"259","ACH-000258","DU4475","breast","DU4475_BREAST","breast","BRCA","DOID:1612"
"260","ACH-000259","KELLY","autonomic_ganglia","KELLY_AUTONOMIC_GANGLIA","peripheral_nervous_system","NB","DOID:1192"
"261","ACH-000260","SKNAS","autonomic_ganglia","SKNAS_AUTONOMIC_GANGLIA","peripheral_nervous_system","NB","DOID:1192"
"262","ACH-000261","RERFLCAI","lung","RERFLCAI_LUNG","lung","LUSC","DOID:1324"
"263","ACH-000262","UOK101","kidney","UOK101_KIDNEY","kidney","KIRC","DOID:263"
