"","DepMap_ID","Cell_line","CCLE_histology","CCLE_name","disease","TCGA_classification","grouped_general_doid"
"404","ACH-000403","NCIH747","large_intestine","NCIH747_LARGE_INTESTINE","colorectal","COADREAD","DOID:9256"
"405","ACH-000404","K029AX","skin","K029AX_SKIN","skin","SKCM","DOID:4159"
"406","ACH-000405","MEC1","haematopoietic_and_lymphoid_tissue","MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","CLL","DOID:1240"
"407","ACH-000406","U937","haematopoietic_and_lymphoid_tissue","U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","DLBC","DOID:1240"
"408","ACH-000407","SNU685","endometrium","SNU685_ENDOMETRIUM","uterus","UCEC","DOID:363"
"409","ACH-000408","TE5","oesophagus","TE5_OESOPHAGUS","esophagus","ESCA","DOID:5041"
"410","ACH-000409","OVSAHO","ovary","OVSAHO_OVARY","ovary","OV","DOID:2394"
"411","ACH-000410","SAOS2","bone","SAOS2_BONE","bone","SARC","DOID:184"
"412","ACH-000411","769P","kidney","769P_KIDNEY","kidney","KIRC","DOID:263"
"413","ACH-000412","SNU1197","large_intestine","SNU1197_LARGE_INTESTINE","colorectal","COADREAD","DOID:9256"
"414","ACH-000413","HS739T","fibroblast","HS739T_FIBROBLAST","fibroblast","BRCA","DOID:1612"
"415","ACH-000414","NCIH1944","lung","NCIH1944_LUNG","lung","LUAD","DOID:1324"
"416","ACH-000415","BICR6","upper_aerodigestive_tract","BICR6_UPPER_AERODIGESTIVE_TRACT","upper_aerodigestive","HNSC","DOID:162"
"417","ACH-000416","NCIH838","lung","NCIH838_LUNG","lung","LUAD","DOID:1324"
"418","ACH-000417","PANC0813","pancreas","PANC0813_PANCREAS","pancreas","PAAD","DOID:1793"
"419","ACH-000418","SW1353","bone","SW1353_BONE","bone","SARC","DOID:162"
"420","ACH-000419","KMS28BM","haematopoietic_and_lymphoid_tissue","KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","MM","DOID:9538"
"421","ACH-000420","SNU449","liver","SNU449_LIVER","liver","LIHC","DOID:3571"
"422","ACH-000421","SW837","large_intestine","SW837_LARGE_INTESTINE","colorectal","COADREAD","DOID:9256"
"423","ACH-000422","SNU475","liver","SNU475_LIVER","liver","LIHC","DOID:3571"
"424","ACH-000423","SKMEL3","skin","SKMEL3_SKIN","skin","SKCM","DOID:4159"
"425","ACH-000424","TC71","bone","TC71_BONE","bone","SARC","DOID:184"
"426","ACH-000425","UACC62","skin","UACC62_SKIN","skin","SKCM","DOID:4159"
"427","ACH-000426","KMS20","haematopoietic_and_lymphoid_tissue","KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","MM","DOID:9538"
"428","ACH-000427","NCIN87","stomach","NCIN87_STOMACH","gastric","STAD","DOID:10534"
"429","ACH-000428","UO31","kidney","UO31_KIDNEY","kidney","KIRC",NA
"430","ACH-000429","A704","kidney","A704_KIDNEY","kidney","KIRC","DOID:263"
"431","ACH-000430","TYKNU","ovary","TYKNU_OVARY","ovary","OV","DOID:2394"
"432","ACH-000431","NCIH1694","lung","NCIH1694_LUNG","lung","SCLC","DOID:1324"
"433","ACH-000432","BV173","haematopoietic_and_lymphoid_tissue","BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","LCML","DOID:1240"
"434","ACH-000433","CAKI1","kidney","CAKI1_KIDNEY","kidney","KIRC","DOID:263"
"435","ACH-000434","NCIH1915","lung","NCIH1915_LUNG","lung",NA,"DOID:1324"
"436","ACH-000435","EFE184","endometrium","EFE184_ENDOMETRIUM","uterus","UCEC","DOID:363"
"437","ACH-000436","OCIMY7","haematopoietic_and_lymphoid_tissue","OCIMY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","MM","DOID:9538"
"438","ACH-000437","SW1088","central_nervous_system","SW1088_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","GBMLGG","DOID:3620"
"439","ACH-000438","LU65","lung","LU65_LUNG","lung",NA,"DOID:1324"
"440","ACH-000439","ME1","haematopoietic_and_lymphoid_tissue","ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","LAML","DOID:1240"
"441","ACH-000440","CA46","haematopoietic_and_lymphoid_tissue","CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","DLBC","DOID:0060058"
"442","ACH-000441","SH4","skin","SH4_SKIN","skin","SKCM","DOID:4159"
"443","ACH-000442","RERFLCSQ1","lung","RERFLCSQ1_LUNG","lung","LUSC","DOID:1324"
"444","ACH-000443","OVKATE","ovary","OVKATE_OVARY","ovary","OV","DOID:2394"
"445","ACH-000444","LU99","lung","LU99_LUNG","lung",NA,"DOID:1324"
"446","ACH-000445","KNS60","central_nervous_system","KNS60_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","GBMLGG","DOID:3620"
"447","ACH-000446","KPNSI9S","autonomic_ganglia","KPNSI9S_AUTONOMIC_GANGLIA","peripheral_nervous_system","NB","DOID:1192"
"448","ACH-000447","NCIH2228","lung","NCIH2228_LUNG","lung","LUAD","DOID:1324"
"449","ACH-000448","NCIH1666","lung","NCIH1666_LUNG","lung","LUAD","DOID:1324"
"450","ACH-000449","MESSA","soft_tissue","MESSA_SOFT_TISSUE","uterus","SARC","DOID:363"
"451","ACH-000450","MELHO","skin","MELHO_SKIN","skin","SKCM","DOID:4159"
"452","ACH-000451","NCIH2085","lung","NCIH2085_LUNG","lung","LUAD","DOID:1324"
"453","ACH-000452","TE8","oesophagus","TE8_OESOPHAGUS","esophagus","ESCA","DOID:5041"
"454","ACH-000453","MOLP2","haematopoietic_and_lymphoid_tissue","MOLP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","MM","DOID:9538"
"455","ACH-000454","HCC95","lung","HCC95_LUNG","lung","LUSC","DOID:1324"
"456","ACH-000455","LN428","central_nervous_system","LN428_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","GBMLGG","DOID:3620"
"457","ACH-000456","BCPAP","thyroid","BCPAP_THYROID","thyroid","THCA","DOID:1781"
"458","ACH-000457","CAL54","kidney","CAL54_KIDNEY","kidney","KIRC","DOID:263"
"459","ACH-000458","CJM","skin","CJM_SKIN","skin","SKCM","DOID:4159"
"460","ACH-000459","TUHR10TKB","kidney","TUHR10TKB_KIDNEY","kidney","KIRC","DOID:263"
"461","ACH-000460","SNU8","ovary","SNU8_OVARY","ovary","OV","DOID:2394"
"462","ACH-000461","SNU1196","biliary_tract","SNU1196_BILIARY_TRACT","bile_duct","CHOL","DOID:4607"
"463","ACH-000462","NALM1","haematopoietic_and_lymphoid_tissue","NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","LCML","DOID:1240"
"464","ACH-000463","NCIH460","lung","NCIH460_LUNG","lung",NA,"DOID:1324"
"465","ACH-000464","CAS1","central_nervous_system","CAS1_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","GBMLGG","DOID:3620"
"466","ACH-000465","SKMEL1","skin","SKMEL1_SKIN","skin","SKCM","DOID:4159"
"467","ACH-000466","SNU216","stomach","SNU216_STOMACH","gastric","STAD","DOID:10534"
"468","ACH-000467","HCC56","large_intestine","HCC56_LARGE_INTESTINE","colorectal","COADREAD","DOID:9256"
"469","ACH-000468","PK45H","pancreas","PK45H_PANCREAS","pancreas","PAAD","DOID:1793"
"470","ACH-000469","YH13","central_nervous_system","YH13_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","GBMLGG","DOID:3620"
"471","ACH-000470","SW1463","large_intestine","SW1463_LARGE_INTESTINE","colorectal","COADREAD","DOID:9256"
"472","ACH-000471","LI7","liver","LI7_LIVER","liver","LIHC","DOID:3571"
"473","ACH-000472","HSC2","upper_aerodigestive_tract","HSC2_UPPER_AERODIGESTIVE_TRACT","upper_aerodigestive","HNSC","DOID:11934"
"474","ACH-000473","RT112","urinary_tract","RT112_URINARY_TRACT","urinary_tract","BLCA","DOID:11054"
"475","ACH-000475","HUH1","liver","HUH1_LIVER","liver","LIHC","DOID:3571"
"476","ACH-000476","JHH4","liver","JHH4_LIVER","liver","LIHC","DOID:3571"
"477","ACH-000477","MALME3M","skin","MALME3M_SKIN","skin","SKCM","DOID:4159"
"478","ACH-000478","SNU387","liver","SNU387_LIVER","liver","LIHC","DOID:3571"
"479","ACH-000479","KNS81","central_nervous_system","KNS81_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","GBMLGG","DOID:3620"
"480","ACH-000480","HUH7","liver","HUH7_LIVER","liver","LIHC","DOID:3571"
"481","ACH-000481","NCIH2170","lung","NCIH2170_LUNG","lung","LUSC","DOID:1324"
"482","ACH-000482","RERFLCKJ","lung","RERFLCKJ_LUNG","lung","LUAD","DOID:1324"
"483","ACH-000483","SNU182","liver","SNU182_LIVER","liver","LIHC","DOID:3571"
"484","ACH-000484","VMRCRCW","kidney","VMRCRCW_KIDNEY","kidney","KIRC","DOID:263"
"485","ACH-000485","GSU","stomach","GSU_STOMACH","gastric","STAD","DOID:10534"
"486","ACH-000486","KU1919","urinary_tract","KU1919_URINARY_TRACT","urinary_tract","BLCA","DOID:11054"
"487","ACH-000487","F36P","haematopoietic_and_lymphoid_tissue","F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","LAML","DOID:162"
"488","ACH-000488","TE11","oesophagus","TE11_OESOPHAGUS","esophagus","ESCA","DOID:5041"
"489","ACH-000489","SW1116","large_intestine","SW1116_LARGE_INTESTINE","colorectal","COADREAD","DOID:9256"
"490","ACH-000490","SF767","central_nervous_system","SF767_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","CESC","DOID:4362"
"491","ACH-000491","NCIH716","large_intestine","NCIH716_LARGE_INTESTINE","colorectal","COADREAD","DOID:9256"
"492","ACH-000492","MUTZ5","haematopoietic_and_lymphoid_tissue","MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","ALL","DOID:1240"
"493","ACH-000493","SNU423","liver","SNU423_LIVER","liver","LIHC","DOID:3571"
"494","ACH-000494","OELE","ovary","OELE_OVARY","ovary","OV","DOID:162"
"495","ACH-000495","TUHR4TKB","kidney","TUHR4TKB_KIDNEY","kidney","KIRC","DOID:263"
"496","ACH-000496","NCIH1792","lung","NCIH1792_LUNG","lung","LUAD","DOID:1324"
"497","ACH-000498","KO52","haematopoietic_and_lymphoid_tissue","KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","LAML","DOID:1240"
"498","ACH-000499","EW8","bone","EW8_BONE","bone","SARC","DOID:184"
"499","ACH-000500","SNU46","upper_aerodigestive_tract","SNU46_UPPER_AERODIGESTIVE_TRACT","upper_aerodigestive","HNSC","DOID:162"
"500","ACH-000501","LS123","large_intestine","LS123_LARGE_INTESTINE","colorectal","COADREAD","DOID:9256"
"501","ACH-000502","TCCPAN2","pancreas","TCCPAN2_PANCREAS","pancreas","PAAD","DOID:1793"
"502","ACH-000503","BICR16","upper_aerodigestive_tract","BICR16_UPPER_AERODIGESTIVE_TRACT","upper_aerodigestive","HNSC","DOID:11934"
"503","ACH-000504","SNB75","central_nervous_system","SNB75_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","GBMLGG","DOID:3620"
"504","ACH-000505","RKN","soft_tissue","RKN_SOFT_TISSUE","soft_tissue","SARC","DOID:2394"
"505","ACH-000506","NCIH146","lung","NCIH146_LUNG","lung","SCLC","DOID:1324"
"506","ACH-000507","KE39","stomach","KE39_STOMACH","gastric","STAD","DOID:10534"
"507","ACH-000508","CORL88","lung","CORL88_LUNG","lung","SCLC","DOID:1324"
"508","ACH-000509","HUT78","haematopoietic_and_lymphoid_tissue","HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid",NA,"DOID:0060058"
"509","ACH-000510","NCIH1299","lung","NCIH1299_LUNG","lung",NA,"DOID:1324"
"510","ACH-000511","CALU1","lung","CALU1_LUNG","lung","LUSC","DOID:1324"
"511","ACH-000512","INA6","haematopoietic_and_lymphoid_tissue","INA6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","MM","DOID:9538"
"512","ACH-000513","SNU1272","kidney","SNU1272_KIDNEY","kidney","KIRC","DOID:263"
"513","ACH-000514","NCIH1092","lung","NCIH1092_LUNG","lung","SCLC","DOID:1324"
"514","ACH-000515","HCC33","lung","HCC33_LUNG","lung","SCLC","DOID:1324"
"515","ACH-000516","CAL78","bone","CAL78_BONE","bone","SARC","DOID:162"
"516","ACH-000517","SNU410","pancreas","SNU410_PANCREAS","pancreas","PAAD","DOID:1793"
"517","ACH-000518","CAL33","upper_aerodigestive_tract","CAL33_UPPER_AERODIGESTIVE_TRACT","upper_aerodigestive","HNSC","DOID:11934"
"518","ACH-000519","PEER","haematopoietic_and_lymphoid_tissue","PEER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","ALL","DOID:1240"
"519","ACH-000520","59M","ovary","59M_OVARY","ovary","OV","DOID:2394"
"520","ACH-000521","NCIH2030","lung","NCIH2030_LUNG","lung","LUAD","DOID:1324"
"521","ACH-000522","UMUC3","urinary_tract","UMUC3_URINARY_TRACT","urinary_tract","BLCA","DOID:11054"
"522","ACH-000523","NCIH1184","lung","NCIH1184_LUNG","lung","SCLC","DOID:1324"
"523","ACH-000524","KURAMOCHI","ovary","KURAMOCHI_OVARY","ovary","OV","DOID:2394"
"524","ACH-000525","NCIH2171","lung","NCIH2171_LUNG","lung","SCLC","DOID:1324"
"525","ACH-000526","HS821T","fibroblast","HS821T_FIBROBLAST","fibroblast","SARC","DOID:184"
"526","ACH-000527","OVISE","ovary","OVISE_OVARY","ovary","OV","DOID:2394"
"527","ACH-000528","ABC1","lung","ABC1_LUNG","lung","LUAD","DOID:1324"
"528","ACH-000529","T173","fibroblast","T173_FIBROBLAST","fibroblast","SARC","DOID:184"
"529","ACH-000530","DMS114","lung","DMS114_LUNG","lung","SCLC","DOID:1324"
"530","ACH-000531","RS5","fibroblast","RS5_FIBROBLAST","fibroblast","MESO","DOID:1790"
"531","ACH-000532","SNU61","large_intestine","SNU61_LARGE_INTESTINE","colorectal","COADREAD","DOID:9256"
"532","ACH-000533","NCIH2004RT","soft_tissue","NCIH2004RT_SOFT_TISSUE","rhabdoid","SARC","DOID:263"
"533","ACH-000534","WSUDLCL2","haematopoietic_and_lymphoid_tissue","WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","DLBC","DOID:0060058"
"534","ACH-000535","BXPC3","pancreas","BXPC3_PANCREAS","pancreas","PAAD","DOID:1793"
"535","ACH-000536","BT20","breast","BT20_BREAST","breast","BRCA","DOID:1612"
"536","ACH-000537","SNU761","liver","SNU761_LIVER","liver","LIHC","DOID:3571"
"537","ACH-000538","HUTU80","small_intestine","HUTU80_SMALL_INTESTINE","small_intestine","COADREAD","DOID:162"
"538","ACH-000539","HS618T","fibroblast","HS618T_FIBROBLAST","fibroblast","LUAD","DOID:1324"
"539","ACH-000540","HS606T","fibroblast","HS606T_FIBROBLAST","fibroblast","BRCA","DOID:1612"
"540","ACH-000541","KMS34","haematopoietic_and_lymphoid_tissue","KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","MM","DOID:9538"
"541","ACH-000542","HEYA8","ovary","HEYA8_OVARY","ovary","OV","DOID:2394"
"542","ACH-000543","SNU489","central_nervous_system","SNU489_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","GBMLGG","DOID:3620"
"543","ACH-000544","OE21","oesophagus","OE21_OESOPHAGUS","esophagus","ESCA","DOID:5041"
"544","ACH-000545","VMCUB1","urinary_tract","VMCUB1_URINARY_TRACT","urinary_tract","BLCA","DOID:11054"
"545","ACH-000546","HSC4","upper_aerodigestive_tract","HSC4_UPPER_AERODIGESTIVE_TRACT","upper_aerodigestive","HNSC","DOID:11934"
"546","ACH-000547","HT1197","urinary_tract","HT1197_URINARY_TRACT","urinary_tract","BLCA","DOID:11054"
"547","ACH-000548","BHY","upper_aerodigestive_tract","BHY_UPPER_AERODIGESTIVE_TRACT","upper_aerodigestive","HNSC","DOID:11934"
"548","ACH-000549","SNU1076","upper_aerodigestive_tract","SNU1076_UPPER_AERODIGESTIVE_TRACT","upper_aerodigestive","HNSC","DOID:162"
"549","ACH-000550","IGR39","skin","IGR39_SKIN","skin","SKCM","DOID:4159"
"550","ACH-000551","K562","haematopoietic_and_lymphoid_tissue","K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","LCML","DOID:1240"
"551","ACH-000552","HT29","large_intestine","HT29_LARGE_INTESTINE","colorectal","COADREAD","DOID:9256"
"552","ACH-000553","SQ1","lung","SQ1_LUNG","lung","LUSC","DOID:1324"
"553","ACH-000554","UACC893","breast","UACC893_BREAST","breast","BRCA","DOID:1612"
"554","ACH-000555","A498","kidney","A498_KIDNEY","kidney","KIRC","DOID:263"
"555","ACH-000556","SIHA","cervix","SIHA_CERVIX","cervix","CESC","DOID:4362"
"556","ACH-000557","AML193","haematopoietic_and_lymphoid_tissue","AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","LAML","DOID:1240"
"557","ACH-000558","A172","central_nervous_system","A172_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","GBMLGG","DOID:3620"
"558","ACH-000559","NCIH1836","lung","NCIH1836_LUNG","lung","SCLC","DOID:1324"
"559","ACH-000560","ECC10","stomach","ECC10_STOMACH","gastric","STAD","DOID:10534"
"560","ACH-000561","TT","oesophagus","TT_OESOPHAGUS","esophagus","ESCA","DOID:5041"
"561","ACH-000562","HCC78","lung","HCC78_LUNG","lung","LUAD","DOID:1324"
"562","ACH-000563","EBC1","lung","EBC1_LUNG","lung","LUSC","DOID:1324"
"563","ACH-000564","KHM1B","haematopoietic_and_lymphoid_tissue","KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","MM","DOID:9538"
"564","ACH-000565","RCM1","large_intestine","RCM1_LARGE_INTESTINE","colorectal","COADREAD","DOID:9256"
"565","ACH-000566","SW1710","urinary_tract","SW1710_URINARY_TRACT","urinary_tract","BLCA","DOID:11054"
"566","ACH-000567","ST486","haematopoietic_and_lymphoid_tissue","ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","DLBC","DOID:0060058"
"567","ACH-000568","UACC812","breast","UACC812_BREAST","breast","BRCA","DOID:1612"
"568","ACH-000569","ISTMES1","pleura","ISTMES1_PLEURA","mesothelioma","MESO","DOID:1324"
"569","ACH-000570","YKG1","central_nervous_system","YKG1_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","GBMLGG","DOID:3620"
"570","ACH-000571","T98G","central_nervous_system","T98G_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","GBMLGG","DOID:3620"
"571","ACH-000572","G361","skin","G361_SKIN","skin","SKCM","DOID:4159"
"572","ACH-000573","MDAMB436","breast","MDAMB436_BREAST","breast","BRCA","DOID:1612"
"573","ACH-000574","FUOV1","ovary","FUOV1_OVARY","ovary","OV","DOID:2394"
"574","ACH-000575","HCC364","lung","HCC364_LUNG","lung","LUAD","DOID:1324"
"575","ACH-000576","KMS27","haematopoietic_and_lymphoid_tissue","KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","MM","DOID:9538"
"576","ACH-000577","JHH2","liver","JHH2_LIVER","liver","LIHC","DOID:3571"
"577","ACH-000578","HCC1171","lung","HCC1171_LUNG","lung","LUAD","DOID:1324"
"578","ACH-000579","UACC257","skin","UACC257_SKIN","skin","SKCM","DOID:4159"
"579","ACH-000580","C32","skin","C32_SKIN","skin","SKCM","DOID:4159"
"580","ACH-000581","SNU16","stomach","SNU16_STOMACH","gastric","STAD","DOID:10534"
"581","ACH-000582","COLO741","skin","COLO741_SKIN","skin","SKCM","DOID:4159"
"582","ACH-000583","MC116","haematopoietic_and_lymphoid_tissue","MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","DLBC","DOID:0060058"
"583","ACH-000584","JHOS4","ovary","JHOS4_OVARY","ovary","OV","DOID:2394"
"584","ACH-000585","EPLC272H","lung","EPLC272H_LUNG","lung","LUSC","DOID:1324"
"585","ACH-000586","NCIH1876","lung","NCIH1876_LUNG","lung","SCLC","DOID:1324"
"586","ACH-000587","NCIH1975","lung","NCIH1975_LUNG","lung","LUAD","DOID:1324"
"587","ACH-000588","KMS26","haematopoietic_and_lymphoid_tissue","KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","MM","DOID:9538"
"588","ACH-000589","NCIH1437","lung","NCIH1437_LUNG","lung","LUAD","DOID:1324"
"589","ACH-000590","NCIH2073","lung","NCIH2073_LUNG","lung","LUAD","DOID:1324"
"590","ACH-000591","LN235","central_nervous_system","LN235_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","GBMLGG","DOID:3620"
"591","ACH-000592","TM31","central_nervous_system","TM31_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","GBMLGG","DOID:3620"
"592","ACH-000593","BC3C","urinary_tract","BC3C_URINARY_TRACT","urinary_tract","BLCA","DOID:11054"
"593","ACH-000594","DMS153","lung","DMS153_LUNG","lung","SCLC","DOID:1324"
"594","ACH-000595","LN229","central_nervous_system","LN229_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","GBMLGG","DOID:3620"
"595","ACH-000596","LCLC97TM1","lung","LCLC97TM1_LUNG","lung",NA,"DOID:1324"
"596","ACH-000597","TTC709","soft_tissue","TTC709_SOFT_TISSUE","rhabdoid","SARC","DOID:263"
"597","ACH-000598","KMS21BM","haematopoietic_and_lymphoid_tissue","KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","MM","DOID:9538"
"598","ACH-000599","PATU8902","pancreas","PATU8902_PANCREAS","pancreas","PAAD","DOID:1793"
"599","ACH-000600","SLR26","kidney","SLR26_KIDNEY","kidney","KIRC","DOID:263"
"600","ACH-000601","MIAPACA2","pancreas","MIAPACA2_PANCREAS","pancreas","PAAD","DOID:1793"
"601","ACH-000602","M07E","haematopoietic_and_lymphoid_tissue","M07E_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","LAML","DOID:1240"
"602","ACH-000603","BEN","lung","BEN_LUNG","lung",NA,"DOID:1324"
"603","ACH-000604","KYO1","haematopoietic_and_lymphoid_tissue","KYO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","LCML","DOID:1240"
"604","ACH-000605","TE6","oesophagus","TE6_OESOPHAGUS","esophagus","ESCA","DOID:5041"
"605","ACH-000606","PECAPJ34CLONEC12","upper_aerodigestive_tract","PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT","upper_aerodigestive","HNSC","DOID:162"
"606","ACH-000607","KYM1","soft_tissue","KYM1_SOFT_TISSUE","rhabdoid","SARC","DOID:3247"
"607","ACH-000608","COV644","ovary","COV644_OVARY","ovary","OV","DOID:2394"
"608","ACH-000609","SF126","central_nervous_system","SF126_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","GBMLGG","DOID:3620"
"609","ACH-000610","NCIH2227","lung","NCIH2227_LUNG","lung","SCLC","DOID:1324"
"610","ACH-000611","SUDHL6","haematopoietic_and_lymphoid_tissue","SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","DLBC","DOID:0060058"
"611","ACH-000612","HUT102","haematopoietic_and_lymphoid_tissue","HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid",NA,"DOID:0060058"
"612","ACH-000613","HOS","bone","HOS_BONE","bone","SARC","DOID:184"
"613","ACH-000614","RVH421","skin","RVH421_SKIN","skin","SKCM","DOID:4159"
"614","ACH-000615","SKMEL28","skin","SKMEL28_SKIN","skin","SKCM","DOID:4159"
"615","ACH-000616","HS746T","stomach","HS746T_STOMACH","gastric","STAD","DOID:10534"
"616","ACH-000617","OVCAR4","ovary","OVCAR4_OVARY","ovary","OV","DOID:2394"
"617","ACH-000618","SNU1041","upper_aerodigestive_tract","SNU1041_UPPER_AERODIGESTIVE_TRACT","upper_aerodigestive","HNSC","DOID:162"
"618","ACH-000619","PECAPJ15","upper_aerodigestive_tract","PECAPJ15_UPPER_AERODIGESTIVE_TRACT","upper_aerodigestive","HNSC","DOID:11934"
"619","ACH-000620","JHH1","liver","JHH1_LIVER","liver","LIHC","DOID:3571"
"620","ACH-000621","MDAMB157","breast","MDAMB157_BREAST","breast","BRCA","DOID:1612"
"621","ACH-000622","KNS42","central_nervous_system","KNS42_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","GBMLGG","DOID:3620"
"622","ACH-000623","SNU201","central_nervous_system","SNU201_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","GBMLGG","DOID:3620"
"623","ACH-000624","HCC1806","breast","HCC1806_BREAST","breast","BRCA","DOID:1612"
"624","ACH-000625","HEP3B217","liver","HEP3B217_LIVER","liver","LIHC","DOID:3571"
"625","ACH-000626","U266B1","haematopoietic_and_lymphoid_tissue","U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","MM","DOID:9538"
"626","ACH-000627","LCLC103H","lung","LCLC103H_LUNG","lung",NA,"DOID:1324"
"627","ACH-000628","NCIH596","lung","NCIH596_LUNG","lung","LUAD","DOID:1324"
"628","ACH-000629","IOMMLEE","central_nervous_system","IOMMLEE_CENTRAL_NERVOUS_SYSTEM","central_nervous_system",NA,"DOID:3620"
"629","ACH-000630","YD8","upper_aerodigestive_tract","YD8_UPPER_AERODIGESTIVE_TRACT","upper_aerodigestive","HNSC","DOID:11934"
"630","ACH-000631","KS1","central_nervous_system","KS1_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","GBMLGG","DOID:3620"
"631","ACH-000632","HS944T","skin","HS944T_SKIN","skin","SKCM","DOID:4159"
"632","ACH-000633","FU97","stomach","FU97_STOMACH","gastric","STAD","DOID:10534"
"633","ACH-000634","LN340","central_nervous_system","LN340_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","GBMLGG","DOID:3620"
"634","ACH-000635","SNU119","ovary","SNU119_OVARY","ovary","OV","DOID:2394"
"635","ACH-000636","RPMI8402","haematopoietic_and_lymphoid_tissue","RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","ALL","DOID:1240"
"636","ACH-000637","KYSE520","oesophagus","KYSE520_OESOPHAGUS","esophagus","ESCA","DOID:5041"
"637","ACH-000638","NCIH441","lung","NCIH441_LUNG","lung","LUAD","DOID:1324"
"638","ACH-000639","NCIH211","lung","NCIH211_LUNG","lung","SCLC","DOID:1324"
"639","ACH-000640","SKMEL31","skin","SKMEL31_SKIN","skin","SKCM","DOID:4159"
"640","ACH-000641","CMK","haematopoietic_and_lymphoid_tissue","CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","LAML","DOID:1240"
"641","ACH-000642","HMEL","breast","HMEL_BREAST","breast","BRCA","DOID:162"
